Infec_mean,Infec_lb,Infec_ub
55005.99846212437,28237.632759518558,77145.82771007379
58431.55105038215,29686.79244830142,82208.6497924137
62023.187001339444,31220.791768533378,87519.31522112552
65783.1289470614,32846.729948443346,93079.62983029461
69712.90998832342,34572.198941772804,98890.0860195145
73813.30238577613,36405.24715577667,104949.73693834618
78084.25268667331,38354.31811891556,111241.40620990496
82524.82012201422,40428.16603509244,117749.42902653058
87133.12357091629,42635.74735297875,124490.37336726705
91906.2975072133,44986.089052320574,131456.411638017
96840.45825188766,47488.1463752346,138637.88847654802
101930.68288404614,50150.63578231503,146023.2967412094
107171.00106107532,52981.84997509534,153599.29989741178
112554.40233389554,55989.4658007409,161350.7665005495
118072.85728870374,59180.35666382031,169260.8504886005
123717.3553404919,62560.38868070691,177311.0846924404
129477.95697008944,66134.23667393363,185482.91957482666
135343.8610214641,69905.21329989163,193789.3239392342
141303.48620734096,73875.10491628313,202185.18132323737
147344.5647732631,78044.05326684465,210637.66974920646
153454.24625212717,82410.46062847719,219122.74202212616
159619.21137885356,86970.92557319166,227615.87120839514
165825.79187399973,91720.2222605957,236092.30257774284
172060.0943944735,96651.31351889374,244527.493782434
178308.12654787663,101755.40301438898,252897.11810233069
184555.922762869,107022.03925954655,261176.98686790766
190789.66613891168,112439.23039302736,269343.96029206226
196995.80630905333,117993.60104188987,277375.88963164005
203161.16981106068,123669.84095567135,285251.82719552703
209273.06145467827,129451.69283808059,292952.20888410613
215319.35675096762,135324.26000460712,300459.01034258044
221288.58191718764,141270.6074304566,307755.8806264341
227169.98241297054,147273.4495251087,314828.2345908442
232953.57937829988,153315.35755921074,321663.331407689
238630.21318518408,159378.97130408767,328250.31814148254
244191.5755386756,165447.19371140742,334580.24939869397
249630.22900297955,171503.36455926817,340646.0713839076
254939.61500542035,177531.41922140145,346442.5910242485
260114.05242810317,183516.02819256997,351966.4175804007
265148.7259734744,189442.71139376066,357215.88709887315
270039.66599266895,195297.931701113,362190.9695677976
274783.7213608344,201069.16967169772,366893.16405506025
279378.52536104905,206775.35352396386,371325.3782686244
283822.456935446,212385.11512542077,375491.8092052113
288114.5974932021,217877.5413456664,379397.79957488016
292254.68474950123,223244.56804267876,383049.71637163835
296243.06419816136,228479.2417188978,386454.8137162405
300080.63947010884,233575.68891392398,389621.09997860587
303768.82186921634,238529.0762882002,392557.2096142429
307309.48048052884,243335.56335985853,395272.2784167299
310704.8927294527,247992.24783195322,397775.82839325897
313957.69621152687,252497.1039177714,400077.65638706274
317070.84245052456,256847.72214878837,402187.73673284054
320047.5529153686,261044.5288488116,404116.1237035287
322891.2767353141,265088.17374189023,405872.87019113486
325605.6512316759,268979.50240758463,407467.953369522
328194.46520404256,272719.9181878967,408911.2083291719
330661.62498346966,276311.3206144917,410212.2719234236
333011.12310836953,279756.04574956425,411380.53476527694
335247.0093113077,283056.80849584774,412425.0988732188
337373.3650630552,286216.65125497954,413354.7479922512
339394.28015675995,289238.8926226763,414177.92098269274
341313.8320567954,292127.0787738778,414902.69169496704
343136.0672687979,294884.94247230195,415536.7521345059
344864.9852330357,297516.36323498935,416070.6317099958
346504.52437713475,300025.3303883057,416494.8111260018
348058.550237932,302415.9114596075,416850.4585494715
349530.8450844438,304692.22184970125,417143.7578168832
350925.09937643056,306858.3989493289,417380.49746739527
352244.9049410523,308918.57923637604,417566.7369496356
353493.74923410645,310876.8764851322,417710.21263577655
354675.01127727935,312737.3662443314,417812.1266152879
355791.9582268676,314504.0670970668,417876.8149587313
356847.7433882669,316180.93056259357,417908.2862762172
357845.40499815333,317771.82767135306,417910.2390944141
358787.865673009,319280.5417785182,417886.0760013137
359677.93253327586,320710.75749187643,417838.92212555197
360518.2983178359,322066.0584932661,417771.63804256724
361311.54259956913,323349.92065251415,417686.8379906894
362060.1335745556,324565.70843743696,417586.9072570929
362766.43034024775,325716.67251102626,417474.0149296358
363432.68514275586,326805.94847737765,417350.1290440386
364061.04632303223,327836.5564952647,417217.0329411186
364653.5612193233,328811.40098351403,417076.3364737741
365212.17932087637,329733.2708616951,416933.7578888929
365738.75520947215,330604.8412155677,416801.816648339
366235.05207049823,331428.67481174576,416665.1806566174
366702.7447783042,332207.2253671996,416524.92990948725
367143.4236876422,332942.83793084824,416382.0316090083
367558.59780276,333637.75025985175,416237.3489109878
367949.69790408254,334294.1011474893,416091.6478647879
